Eff_vals_pdf,dt_0wk_conv,dt_10wk_conv,dt_30wk_conv,dt_50wk_conv
0,0,0,0,0
0.001,0,0,0,0.01
0.002,0,0,0,0.1
0.003,0,0,0,0.15
0.004,0,0,0,0.2
0.005,0,0,0.03,0.36
0.006,0,0,0.02,0.46
0.007,0,0,0.04,0.5
0.008,0,0,0.02,0.58
0.009,0,0,0.0600000000000001,0.690000000000001
0.01,0,0,0.07,0.590000000000001
0.011,0,0,0.04,0.829999999999999
0.012,0,0,0.04,0.929999999999999
0.013,0,0,0.07,1
0.014,0,0,0.0800000000000001,1.04
0.015,0,0.00999999999999999,0.0799999999999999,1.06
0.016,0,0.00999999999999999,0.17,1.23
0.017,0,0.00999999999999999,0.0899999999999999,1.31
0.018,0,0,0.1,1.2
0.019,0,0.00999999999999999,0.18,1.35
0.02,0,0.00999999999999999,0.17,1.3
0.021,0,0.01,0.18,1.3
0.022,0,0.02,0.14,1.4
0.023,0,0.00999999999999999,0.17,1.58
0.024,0,0.02,0.11,1.57
0.025,0,0,0.23,1.52
0.026,0.01,0,0.16,1.66
0.027,0,0,0.26,1.55
0.028,0.00999999999999999,0.00999999999999999,0.23,1.82
0.029,0,0.0400000000000001,0.240000000000001,1.61
0.03,0.00999999999999999,0.04,0.15,1.82
0.031,0,0.02,0.21,1.64
0.032,0,0.02,0.19,1.72
0.033,0,0,0.26,1.6
0.034,0.00999999999999999,0,0.25,1.7
0.035,0.00999999999999999,0.02,0.23,1.68
0.036,0,0.0300000000000002,0.330000000000002,1.62000000000001
0.037,0.00999999999999999,0.00999999999999999,0.25,1.84
0.038,0.00999999999999999,0.00999999999999999,0.27,1.57
0.039,0.00999999999999999,0.02,0.39,1.64
0.04,0.00999999999999999,0.02,0.28,1.81
0.041,0,0,0.28,1.83
0.042,0.02,0.04,0.41,1.85
0.043,0,0.0100000000000001,0.260000000000002,2.02000000000001
0.044,0,0.05,0.46,1.67
0.045,0,0.03,0.34,1.77
0.046,0,0.03,0.31,1.86
0.047,0,0,0.35,1.7
0.048,0,0.04,0.38,1.8
0.049,0.00999999999999999,0.0599999999999999,0.519999999999999,1.71
0.05,0,0.0799999999999999,0.33,2
0.051,0.03,0.03,0.36,2.07
0.052,0.0200000000000001,0.0400000000000002,0.430000000000003,1.85000000000001
0.053,0.03,0.02,0.47,1.89
0.054,0.00999999999999999,0.04,0.4,1.76
0.055,0.00999999999999999,0.04,0.38,1.91
0.056,0.02,0.04,0.48,1.97
0.057,0,0.02,0.38,2
0.058,0,0.03,0.48,2.08
0.059,0,0.0900000000000006,0.460000000000003,1.99000000000001
0.06,0,0.05,0.4,2.11
0.061,0.02,0.0599999999999999,0.35,1.89
0.062,0.00999999999999999,0.0599999999999999,0.5,1.93
0.063,0.00999999999999999,0.0699999999999999,0.529999999999999,2.03
0.064,0.00999999999999999,0.03,0.38,2.27
0.065,0.00999999999999999,0.0899999999999999,0.47,1.96
0.066,0.00999999999999999,0.05,0.44,2.13
0.067,0,0.05,0.49,1.88
0.068,0.02,0.05,0.43,1.98
0.069,0.00999999999999999,0.0599999999999999,0.549999999999999,1.96
0.07,0.00999999999999999,0.0699999999999999,0.58,1.75
0.071,0,0.04,0.549999999999999,1.76
0.072,0.0100000000000001,0.0500000000000007,0.470000000000006,2.00000000000003
0.073,0.03,0.05,0.549999999999999,2.16
0.074,0,0.02,0.59,1.82
0.075,0.00999999999999999,0.05,0.44,1.9
0.076,0.03,0.0599999999999999,0.46,1.91
0.077,0.02,0.0899999999999999,0.629999999999999,1.86
0.078,0.02,0.11,0.58,1.94
0.079,0.04,0.03,0.619999999999999,2.01
0.08,0,0.0599999999999999,0.51,2
0.081,0,0.0999999999999999,0.609999999999999,1.94
0.082,0.00999999999999999,0.0799999999999999,0.46,2.06
0.083,0.03,0.0899999999999999,0.58,2.23
0.084,0.04,0.05,0.719999999999999,2.13
0.085,0.02,0.0899999999999999,0.51,1.93
0.086,0.05,0.0999999999999999,0.669999999999999,1.93
0.087,0.0400000000000005,0.080000000000001,0.650000000000008,2.21000000000003
0.088,0.02,0.0699999999999999,0.5,2.05
0.089,0.00999999999999999,0.0899999999999999,0.529999999999999,1.96
0.09,0.03,0.0599999999999999,0.58,2.06
0.091,0.00999999999999999,0.04,0.789999999999999,2.09
0.092,0.02,0.0899999999999999,0.59,2.08
0.093,0.02,0.0599999999999999,0.49,1.99
0.094,0.02,0.05,0.619999999999999,2.05
0.095,0.03,0.0799999999999999,0.599999999999999,2.3
0.096,0.04,0.0599999999999999,0.659999999999999,2.3
0.097,0,0.0899999999999999,0.559999999999999,1.79
0.098,0.00999999999999999,0.0599999999999999,0.559999999999999,1.94
0.099,0.04,0.0899999999999999,0.619999999999999,1.88
0.1,0,0.12,0.58,1.97
0.101,0.05,0.0999999999999999,0.779999999999999,2.24
0.102,0.05,0.0899999999999999,0.5,1.91
0.103,0.04,0.0599999999999999,0.599999999999999,1.72
0.104,0.0300000000000004,0.100000000000001,0.660000000000009,2.24000000000003
0.105,0.04,0.0899999999999999,0.609999999999999,2.01
0.106,0.04,0.0999999999999999,0.42,2.09
0.107,0.04,0.11,0.549999999999999,1.92
0.108,0.03,0.15,0.679999999999999,2.14
0.109,0.02,0.0699999999999999,0.719999999999999,1.99
0.11,0.03,0.0999999999999999,0.519999999999999,2.07
0.111,0.0799999999999999,0.0899999999999999,0.729999999999999,1.94
0.112,0.03,0.0599999999999999,0.619999999999999,1.78
0.113,0.03,0.11,0.529999999999999,1.9
0.114,0.04,0.12,0.669999999999999,1.77
0.115,0,0.11,0.58,2.02
0.116,0.04,0.21,0.519999999999999,2.25
0.117,0.04,0.11,0.649999999999999,1.82
0.118,0.05,0.11,0.699999999999999,1.65
0.119,0.0300000000000004,0.080000000000001,0.630000000000008,2.05000000000003
0.12,0.04,0.0999999999999999,0.709999999999999,1.88
0.121,0.02,0.0899999999999999,0.57,1.9
0.122,0.03,0.12,0.749999999999999,2.04
0.123,0.03,0.18,0.699999999999999,2
0.124,0.04,0.15,0.659999999999999,2.17
0.125,0.02,0.11,0.759999999999999,1.91
0.126,0.00999999999999999,0.12,0.759999999999999,1.83
0.127,0.02,0.0899999999999999,0.749999999999999,2.04
0.128,0.04,0.12,0.57,1.97
0.129,0.04,0.15,0.709999999999999,2.29
0.13,0.05,0.18,0.609999999999999,1.78
0.131,0.0699999999999999,0.11,0.58,1.76
0.132,0.0699999999999999,0.15,0.719999999999999,1.99
0.133,0.03,0.13,0.699999999999999,1.96
0.134,0.02,0.0999999999999999,0.669999999999999,1.97
0.135,0.02,0.15,0.739999999999999,2.08
0.136,0.0799999999999999,0.11,0.679999999999999,1.72
0.137,0.05,0.12,0.649999999999999,2.14
0.138,0.0599999999999999,0.16,0.599999999999999,1.79
0.139,0.0799999999999999,0.16,0.729999999999999,1.91
0.14,0.03,0.14,0.619999999999999,1.81
0.141,0.02,0.11,0.669999999999999,2.02
0.142,0.04,0.23,0.609999999999999,1.74
0.143,0.05,0.19,0.749999999999999,1.88
0.144,0.0800000000000022,0.170000000000005,0.630000000000017,1.87000000000005
0.145,0.0699999999999999,0.13,0.819999999999999,1.88
0.146,0.05,0.11,0.799999999999999,1.34
0.147,0.03,0.14,0.899999999999999,1.85
0.148,0.05,0.15,0.779999999999999,1.8
0.149,0.0799999999999999,0.0799999999999999,0.599999999999999,1.74
0.15,0.02,0.16,0.739999999999999,1.81
0.151,0.05,0.25,0.699999999999999,1.88
0.152,0.02,0.18,0.649999999999999,1.82
0.153,0.03,0.17,0.769999999999999,1.78
0.154,0.0599999999999999,0.22,0.799999999999999,1.91
0.155,0.04,0.18,0.749999999999999,1.56
0.156,0.04,0.0999999999999999,0.639999999999999,1.66
0.157,0.04,0.14,0.709999999999999,1.7
0.158,0.0599999999999999,0.16,0.819999999999999,1.58
0.159,0.04,0.15,0.739999999999999,1.74
0.16,0.02,0.14,0.809999999999999,1.66
0.161,0.0899999999999999,0.25,0.799999999999999,1.62
0.162,0.03,0.0999999999999999,0.659999999999999,1.71
0.163,0.04,0.18,0.729999999999999,1.61
0.164,0.05,0.15,0.879999999999999,1.67
0.165,0.04,0.23,0.799999999999999,1.55
0.166,0.0899999999999999,0.12,0.849999999999999,1.52
0.167,0.0699999999999999,0.23,0.759999999999999,1.66
0.168,0.0699999999999999,0.18,0.789999999999999,1.77
0.169,0.0799999999999999,0.19,0.769999999999999,1.74
0.17,0.03,0.18,0.809999999999999,1.84
