808,809.5,779,815.5,802.5,825,797.5,805,776,799.5,796.5,773.5,776.5,795,775,790,794.5,753.5,734,743,750,726,731.5,727,719.5,723.5,751.5,684,697.5,664.5,639,637.5,634,635.5,540,588,572,543.5,449,511.5,292.5,441,365,334,267,220,185,67,173.5,8.5,44.5,93,8.5,12,14.5,31,3,7,9,2,4,3.5,3,4,5,4,2.5,3.5,4.5,2,2.5,2,1.5,2.5,1.5,1.5,1,1.5,1,2,1.5,1.5,1,2.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,2,1,1,1,1
832,810,815.5,785.5,809,779,786,795,804,764.5,792.5,774.5,782,765,778,800.5,771,748,787.5,752,742,705,756,706,735,701,668,716.5,658.5,654,32.5,636.5,280.5,616.5,606.5,517.5,523.5,454,521,224.5,381,306.5,411,365,280.5,102.5,174,86,169,87,5.5,20.5,10.5,3,22,16.5,3.5,11,2.5,4.5,5,7,2,5.5,3,5,2,1.5,3.5,3.5,2.5,2.5,2,3,3.5,2,3,1.5,1.5,1,1,2.5,1,1.5,1,1,1.5,1,1.5,1,1.5,1,1,1.5,1.5,1,1,1,1,1,1
788,814,775.5,798.5,816.5,778,809,807,836,784.5,784,820.5,795,789,749,758.5,751.5,761,734.5,712,764,746,749.5,726,748.5,730,690,710,683.5,670,618,590,584,607.5,549,531,471.5,501,490.5,503.5,435,421,375.5,264,210.5,16.5,159,77.5,121,36,3,36.5,29.5,13,27,16,5.5,6,7,11,10.5,8,2,4,3,2,1,2,2,4,3,2,2,3,2.5,1.5,1,2,2,1.5,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1,1,1,1,1,1,1,1,1
791,792,800,812,752.5,810.5,813.5,795.5,789.5,804.5,766.5,784.5,815.5,764.5,786,778.5,785.5,772,776,717.5,746,753,775,703,739,721.5,687.5,677.5,698.5,666.5,613.5,660,286,597,521.5,478,570.5,519,514.5,505.5,448,344,357,87.5,273.5,8.5,232,13,90.5,110,102,12,9,33,5.5,16.5,4.5,10.5,20.5,5,4,3.5,9,7.5,2.5,2,3.5,1.5,4,2,2,1,2,1.5,2,1.5,1,1,1,1.5,1,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1,1,2,1,1,1,1.5,1,1
791,773.5,818,812,786.5,350,812.5,805.5,813,804,791.5,780,793.5,789.5,788,781.5,758.5,745,770.5,744,723,750.5,718,729.5,698.5,716.5,712,697.5,688,698.5,680.5,561,611,601,634.5,571.5,548.5,500.5,448.5,417,449,353.5,358,357.5,155,149,107.5,86.5,141,30.5,66,84,7.5,5.5,11,25.5,2.5,10,9,20.5,14.5,3.5,1,4,4.5,2,3,5,4.5,7,1.5,1,1.5,3.5,4,2.5,1.5,1,3.5,1,1,1,2,1,1,1,1,1.5,1,1.5,1,1.5,1,1,1,1.5,1,1,1,1,1
810.5,797,814.5,769,803.5,788,803,799,783.5,796.5,773.5,810.5,796.5,799.5,782,787.5,772.5,770.5,741,776,721.5,720.5,708.5,718,727.5,734,709.5,673.5,687,597.5,657.5,643.5,584,590.5,597.5,605.5,222.5,518,461,453,426.5,415.5,184,131.5,210.5,289,106.5,137.5,4,18,25.5,2.5,3.5,20.5,11,12,7,11,12.5,5,5,8,3,5.5,4,1.5,4,3.5,2.5,3,3,1.5,4.5,3,1,1.5,2.5,1.5,2,1.5,2,1,2,1,1.5,1.5,1,1.5,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1
796,788,810,782.5,785.5,793,793.5,799,795,806.5,766,798,775.5,776.5,773.5,775.5,753,774,777.5,761.5,740.5,738,710.5,719,732,687,706,680.5,692,666,600,589,595,606,588,551.5,504,283,478,416.5,377.5,388,336,323.5,312,150,16.5,155.5,90,111.5,2,114.5,61.5,19,5,1.5,8.5,9,40.5,14,1.5,7,2.5,5,2.5,5.5,2.5,3.5,2.5,2.5,2,2,2,2,1.5,2.5,3.5,1,2,1,1,1.5,1,1.5,1,1.5,1.5,1,1,1,1,1.5,1.5,1,1,1,1.5,1,1,1,1.5
800,783.5,800.5,776,800,805,795.5,812.5,792,791,787.5,804,763,763.5,782.5,772.5,734,753.5,761,770.5,756,706,729,722,722.5,3,695.5,710.5,681,667,651.5,582,648,609.5,560.5,583.5,478.5,494,440.5,413.5,419.5,360.5,372.5,174,293.5,265,18.5,3.5,30.5,50.5,48,48,6,28.5,4.5,11.5,13,3.5,6.5,3,8.5,4,2.5,2.5,4,4,2,4,2,2,3,3,1,1,1,1,2,3,2,1.5,1,1.5,1,2,2.5,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1.5,1,1
823,800.5,837.5,804,795.5,797.5,802,804,733.5,794,806,775.5,787.5,791.5,787,774.5,778.5,771,752.5,758.5,736.5,743.5,729,740,727,679.5,661.5,689,624,681.5,647,612.5,601,552.5,591.5,563,586,268.5,436,425.5,230,201.5,165,185,348.5,300.5,195,15.5,16.5,6.5,43,54.5,16,17,4,32.5,12.5,5,3,6.5,2.5,3,7.5,2,2.5,3,4.5,3,6,2.5,3.5,1,3.5,3.5,1,1,2,1,1,1,1,1.5,2.5,1,2,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1.5,1,1
805.5,782,821,818.5,790,784,836.5,809.5,816,737,793.5,780.5,771,772,803.5,733,773.5,750,757.5,756.5,729,727.5,742,725.5,716.5,722.5,693.5,684.5,669.5,625.5,639,632,558,578.5,560.5,533.5,512,457,484.5,416,453,383,365.5,246.5,282.5,154,120.5,89,82,16,19.5,41,41,7.5,23,9,7.5,4.5,3,3,11,2,2,2.5,5,4,4,2.5,2.5,4.5,1,2,2.5,1,2,1.5,1,2,1.5,1.5,1.5,1,1.5,1.5,1,1.5,1,1.5,2,1,1.5,1.5,2.5,1,1,1,1,1.5,1,1,1
