815,793,825,785.5,827.5,814.5,796.5,816.5,818,800.5,796.5,817.5,817,771.5,795,796,810,794,801.5,789,784.5,779.5,766,821,797,784.5,776.5,743.5,776,768,755,726.5,723,725,704.5,675.5,699,605,646,254.5,613.5,549.5,516,155.5,176.5,165.5,289.5,11.5,337.5,108,147.5,14,31,2.5,32.5,5,11,14,2.5,3,13,6,2.5,6,4,2.5,3,2.5,3.5,2,1.5,1.5,1,2,1.5,1.5,1.5,2,2,1,1,1,1.5,1.5,1,1,1,1,2,1.5,1,1,1,1,1,1.5,1,1,1,1,1
810.5,831.5,817.5,811,790.5,809,811.5,792,776.5,819.5,826.5,784.5,784.5,786,807,812,825.5,794.5,790.5,763,778.5,755,808.5,781.5,781,770.5,769,739.5,779.5,700,724,742.5,659,704,686,655.5,680,670.5,665,37.5,519,504,352,488.5,342,407,397.5,6.5,204.5,72,73.5,44.5,6.5,31,12.5,5,10,10,3,4.5,12.5,3,4,2,3.5,2.5,3,5.5,2,1,2,2.5,1,2,1.5,2.5,1,1,1,1.5,2,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1
803.5,812,816,813.5,797.5,821.5,820,784.5,819,787,828,820.5,799,810,810,780,795.5,788.5,786.5,785.5,771,801,793.5,777.5,764.5,754,745,765.5,752.5,698,730.5,748,714.5,663,654,704,615,663.5,655.5,607.5,535.5,213.5,274,509.5,251.5,275,332,179,110.5,186,111,69.5,4.5,26.5,12,14,2.5,8,24,6,6.5,3,7.5,2.5,4,4.5,2,2.5,3,2,4,3.5,1.5,4,1.5,2,1.5,1.5,1,1.5,1,1,1,1,1,1,1.5,2,1.5,2.5,1,1,1.5,1,1,1,1,1.5,1,1,1.5
789.5,810.5,797,799,803,809,810.5,805.5,789.5,817.5,792.5,803,831,790.5,810,815,808.5,811,796,757.5,796,349,768,788,793.5,754,779,756,730.5,770,702.5,713,687,692.5,719.5,330,683.5,661.5,597.5,608.5,559,265.5,533,135.5,424.5,301,195,3,8,140,7,171,9,11.5,29,9.5,3,6.5,8.5,6,3,3,1.5,3.5,10,3.5,3.5,2,2.5,2,1.5,3,3.5,1,3,1.5,1,2.5,2.5,1,1,1.5,1,1,1,1.5,1,1,1.5,1,1,1,1.5,1,1,2,1.5,1.5,1,1,1
802.5,813,812,830,811,787,774,777.5,797,782,799.5,833,804.5,836.5,759,801.5,797,806.5,799.5,797,783,766,778,786.5,745,782,684,749,771,764,720.5,743,686.5,725,664.5,674,612.5,624.5,672.5,616.5,503,283.5,450,442,408.5,359.5,147.5,181.5,59.5,17,91.5,37.5,81,6.5,20.5,2.5,18,3.5,7,3,2,5,3.5,3,6,3,2,3.5,5,2,3.5,3.5,3,3,2,1,1,1,1,1.5,1.5,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1
805,810.5,814.5,803,821,810.5,825.5,831.5,818,798.5,801.5,798.5,828,802.5,824,802,802,793.5,820,768,768.5,806,772.5,752,794.5,755.5,750,744,762.5,730,728,734.5,298,706,734,666.5,683,645,610.5,570.5,423.5,73,425.5,514,70.5,296,29.5,339,75.5,22,7,39.5,23,15,20,4.5,17,5.5,5.5,9,2.5,9,5,5,5.5,5,3.5,4,1.5,3,1,4,1.5,1.5,1,1.5,2,1,1,2,1,2,2,1.5,2,2,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5
803,819,813.5,810,798.5,817.5,773,801.5,819.5,800.5,825,799,799,814.5,804.5,785.5,822.5,807,789,785.5,366.5,771,772.5,768.5,793,786.5,727,757,755.5,732,758.5,697.5,724.5,711.5,725.5,622,665.5,657.5,641,585.5,555.5,501.5,301.5,279,413,354,188,98,20,32.5,94.5,70,26.5,13.5,16.5,17.5,6.5,3.5,3,7.5,4.5,10,4,4,2,5.5,2,3,1,2,1.5,2.5,1,3,1,1,1.5,1.5,2.5,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1
792.5,817,798.5,817.5,796,805.5,827,796,833,792,825,838,799,812,729.5,755.5,408,790,797.5,778.5,783.5,777.5,795,773.5,778.5,720.5,751.5,747.5,731.5,752.5,730.5,695.5,710.5,700.5,11,682.5,637.5,651.5,643,571,524.5,508,518.5,537,437.5,10,201,96.5,11,19.5,51,10,28.5,19.5,18.5,6.5,10,8,6,6.5,3.5,5.5,2,3,10,3.5,2,1.5,2,3.5,3,1,3,3,2,2,2,1,2.5,1.5,2,2.5,1.5,2,2,2,1.5,1,1.5,1,1.5,1,1,1,1,1,1,1,1,1.5,1
809.5,816,821,838,817.5,813,795.5,807.5,820.5,799,793,786.5,789,815,849.5,809.5,802,786.5,779,759.5,782.5,774,774.5,759.5,744,742,784.5,744,726,739,716,685.5,679,647,666,691,636.5,605,639,594,502.5,535.5,485.5,471,223,433,400.5,314,9.5,15.5,30,62.5,71.5,35.5,2.5,10.5,18.5,8.5,2,3.5,4,3,3,3.5,3,2.5,3.5,1.5,1.5,2,2,2,2,1,4.5,1,1,1,1.5,1,1.5,3,1,1,1,2,1,1.5,1,1,1,1,1,1,1,1,2,1,1,1,1
812.5,796.5,793.5,798,794,804.5,806.5,780,833.5,797.5,812.5,780.5,772,796.5,791.5,795,747,782.5,827.5,760.5,786,758,792,777.5,770.5,776,731,763,763,754.5,693,727,705.5,333,714,684,639.5,652,634,594.5,331,569.5,224,431,410,240,186,203,209,11,70,10.5,42,52,4,10,10,3,3,5.5,2,4,6.5,5.5,6,2,4.5,2.5,2.5,1,2,3,3.5,2,3,1,1,1,1.5,1.5,1,2,1,1,1.5,1.5,1.5,2.5,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1
