766,768.5,759,767.5,762.75,761,774,765,758.5,746,749.5,756.75,752,748.5,762.5,737.5,745.5,739.5,747,738,738,747.25,734,725,700.25,711,726.25,696,680,689.5,672.5,674.25,649,623,631,614,563,565.5,541,486,463.5,61,339.25,273.5,303.75,57,46,41,28,17.5,21.5,22,17.75,12,19,10.5,13,11.75,10.5,10,11,NaN,12,11.25,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
760.5,760,756,753,756,757,768.5,769.75,762,765,761.25,749.5,763.5,745,753,727,760.5,755.5,757,737.5,733,738.5,729,719.5,724,713,727.75,707.25,698.25,694.25,676,681.5,641,668,629.25,618.5,582.75,563.25,501.75,461.5,408.75,29.5,327,439,137.25,55.5,21,38.25,43,13,22,22.5,10,13,13,11.25,12.5,11,10,12.5,18,12,10,11,10,10,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
771,776.5,769,762,762.25,766,752,770.5,767,749.75,743,760,752,765,756.5,753.25,750,736,750.25,738,741.5,733,727.5,717,715.5,718.25,725.5,696.25,691.5,692,644.5,667,649.5,627,637,595,558,560.25,541,511.5,467,36,271.25,201,26.25,79,38,28.75,16.75,18,14.5,18,18.5,11.5,11,10.75,11.5,10.5,10,11,NaN,12,15,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
771.75,778.5,753.5,772.75,763,758,769,760,764,757.5,766,761.25,750,758,751.25,740.25,751,748.25,747,734,742.5,736.5,731,728.5,723.75,698,704.25,719.5,681,689,676.5,673,651,646,618,608,596,541,528,507,495.25,415,358.25,98,30,32,143.25,23.75,20,16.5,14,16,11.25,13,14.25,14.25,11.5,11.5,12,13,10.5,11.5,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
760,756.5,759.5,769.75,764.75,757,761,758.25,762.25,776,759,746.5,760.75,764,757.75,756,751.5,736,746,734.5,745,732.75,726,741.75,725,710.25,724.25,707,668,685,693,670.75,664,620,604.75,628.5,598,549.75,540.5,514,473.75,115.25,409,282,15,42,44.75,19,17.25,23.5,12,16.5,18.5,11.75,11,13,11.25,10,14.75,10,12.25,12.5,13,NaN,13,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
766,761.5,763,749,759.5,778,767,754,751,770,760,761,744,758.25,763.5,749,742.25,754,737,737.25,750.25,730.5,715,722.25,703,701,702,709,706,698,670.25,665,659,617.5,618.5,604.25,580,498,491.5,120.75,451,305,112.25,62,26,18.5,51.5,25,15,20,14.75,22.5,15.25,12,10,11.5,13,12,10,10.5,11,11,NaN,11,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
761,764,764,763,770.75,765,763.5,771.25,763,754.5,752.75,769.25,759.5,760.25,759.5,745,741.25,741.25,746,727.75,733.5,740,719.5,717.5,715.5,691.75,708,697,686,687.5,662.5,658,662,643.5,614.5,610.5,584.5,551,515,492,429,272.5,18.75,25,258.75,151,20,91,23.25,21,13.25,12,18,16,13,13.5,11,10,12,12.75,15.25,10,10,13,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
756.5,764.25,763,760.5,766,767.75,771,769,760,755,756,750,754,750,751,755,736.75,735.5,736,739.5,734.25,733.5,735.25,708.5,725,725.5,709,702.5,686.5,680,660,664.5,645,639.5,632,617.75,575.5,575.5,501,33.25,407.5,369,43,284,114,25.5,18.5,25,22,26,14.25,18.25,18,17.5,13,12,11,13,10,14,14,11,NaN,11,11.5,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
771,771.5,751,759.5,776,769.75,766.5,761,762.5,754.5,749.25,756,762.25,737,744.5,749,747,748,738.75,735.75,719.5,736.5,729.75,731.5,724,714.5,693,692.75,690,655.25,676.5,660,637,629.75,585,528,578,525,471.5,495.5,426.75,126.5,328.5,192,44,31,31.5,47,14.75,15.5,13.5,13,14.5,19.75,11.5,11,11.5,10,10.5,10,10,10.25,NaN,10,NaN,10.25,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
777.5,765.5,758,779,771.25,767,769.75,745.5,766.75,765.25,747.5,762.75,753.75,746.5,740.25,729,740,744,729.5,737,728.25,731,741,703.25,703.75,690.75,700,679,685.5,681.75,689,650.5,634,627.25,613,597,477.75,542,532.75,454.75,134.75,378,115,38,24,83,16.75,23.75,15,17.5,23,13,12,14,14.5,13,10.75,12.5,11,13.5,10,10,10,11,10,10,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
766,764,768,777,764,767.5,756.75,761.25,764,732,766,767.5,750,742.75,753.5,755.5,732.75,741.25,752,737.75,730.5,720.5,711,713,712.5,710.5,702.5,700.75,689.25,672,661.75,656,603,615,610.25,541,561.5,546,532.75,420.75,199.5,387,347.5,224.25,271.75,24,22,23.5,16.5,12,18,17.75,12.5,15,15,14,12.5,12.5,11,10.75,12.5,11.25,10,10,10,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
765.75,761.5,769,747.5,766.5,759,756.5,767.5,756.5,749,752.5,761,753,754.5,748.75,760,743,723,737,726.25,731,714,726,716.25,716.25,701.5,692.5,698,666,668.75,658.25,649.5,627.25,641,600.25,561,557,430.25,423,468.75,403.5,410.5,222,107,36.5,23,31.5,19.5,27,44.75,17,13.5,19.25,20,12.25,12,16.5,12.25,11,11.25,12.5,NaN,10,12,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
766,756,758.5,758,759,761,755.5,763.25,759,765,747.75,758,749,745.5,738,744,759,746,747,739,725,721,737.75,732,711.5,702,698,688.75,683,643.75,651,646,621,614.5,588.75,560.25,551,497,19,493,442,25.5,16.75,56.5,87,14,20,20,13.5,22,23,13,17,13,15,12,15,11,10.5,12,12.5,11,11,10,10,NaN,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
756,773.5,769.25,760,770,759.5,755,753.5,763.5,763.5,741,747.5,743,744.5,755.75,756,741,735,733.75,729,723,726.5,703,693,698.25,702,692,698,669,678,662,618,636.25,624.25,611,585,585.5,507.75,506.75,418.75,407.5,92,66,24.25,78.75,30.75,13,19,27,23.5,13,23.75,18.25,11.75,18.5,12.5,15.5,16,14.75,11,10.5,10.5,11,11,12,11,10.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
776,764,762,751.75,749.75,768,755.75,756.75,755,768,752.5,758,751,744.5,739,748,730.5,726,755,744.5,728,728,718.5,719,703,691.75,683.5,674,649.5,643.75,652,635,637,631,592.5,580.75,515.25,507.75,505.25,450,357.5,403.5,23,86.5,207,30,45,18.25,37.25,15,15,18,12.5,14,14.75,12,15,10,13,12.5,16,10.5,14,13,11,10,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
760,770,751.5,763,761.5,760.5,763.5,762,742,758,751,744.25,743,755,757,737.5,737.75,737,729.5,729,726.75,715.25,714,710,692.5,708,706.25,669.5,661,651.5,638.75,616,599,587,562,572,552,483,475,458.25,395.75,301.25,23.25,92.25,43,25.5,28,51,16.25,14,22,16,11,12,12,13.5,13.25,11.75,12.5,12.5,13,13,11,19,12.5,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
754.5,759,756.75,758.5,757.75,756.75,747,754,758.5,740.75,748.5,745,747,750,750.25,739,732,728.5,733,716.25,720,713.5,705.5,710.5,687,687,697.75,689,674,649.5,643.75,651,631.25,589.25,590.5,539.75,557.5,522,490.25,299,23,368.75,151.25,42,25,25.5,28.25,16,22.5,15,25,11.25,16,14,12,14.25,11,12.5,12,11,10,10,11,NaN,22,11,NaN,10.25,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
769.25,762.5,756,749,762,765.5,759.5,755.25,766.25,753,728.25,755.75,746.75,749,740.5,755,742.75,730,738.5,739.25,735,724.75,724,705.25,704.5,692,681,679,669.5,660,630.25,631,616,600.25,532.25,18,495,455.5,491,49,323,165,274.75,226.75,96,23,23.75,31,16.5,17.5,20,18.75,13.5,18,14,14,21,13.5,12.5,12.75,17,11,11,13,11,NaN,13,NaN,NaN,NaN,NaN,11,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
