724.5,13,363.5,709.5,737,3,3,754.5,5.5,5.5,2,9,736.5,5,374,4,704,2,3,3,2.5,4.5,710.5,674,5.5,5,3.5,5,2,3,2.5,3,7,3,3.5,3,3,4,3,6.5,9,2,2,2,2.5,2,2,2,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
748,3,13,3,742,736,748.5,4,735,726,6.5,712,698.5,8,687.5,8,7.5,716.5,716.5,4,354,5,327.5,15.5,3,8,7.5,4,3.5,5,4,18,10,5,3,4.5,2,3.5,2,3,2,1.5,3,2.5,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.5,718.5,365,742.5,7,3.5,717.5,3,6,3,739,739.5,8,358.5,6,6,681,5,365,5,3,682.5,3,4.5,330.5,5,644,5.5,4,3,4,10,7.5,2.5,5.5,4,2,2.5,3,2,4,2,3,2,2.5,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
747,2.5,703.5,760.5,365,3,743,3,755,3,368.5,4,8,3.5,5.5,7,354,720,8,716.5,4,5.5,5.5,684.5,4,5,4,7.5,649,11.5,13,13.5,8,9,3,4.5,17.5,4.5,3,3,2,3.5,2,2,2.5,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.5,3,2,2.5,355,372,2.5,18.5,4.5,4.5,355,3,6,3,6,4,734.5,720,701.5,12.5,3,675,3,6.5,3.5,3,2,24.5,4,2.5,3,8,3,2,5,2,4,5,2,2,2,2,2,3,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.5,3,740.5,356.5,3,2,6.5,6,365.5,8.5,5,11.5,4,2,2,2,4,717,690,5.5,3,4,4.5,5,310.5,2,7,3.5,3,2,3,5.5,1,2,6.5,2,16.5,3,4,2,2.5,2,1,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.5,743.5,743.5,743.5,4.5,368,5,5,346,15,709.5,728,697,8.5,8,6,3,6,6,4,4.5,3,7,4.5,3,656,30.5,4.5,4,8,13.5,4,2,6,7,2,2.5,2,2,2.5,2,5,2,2,3,2,2,2,2,1.5,2,1,1,1.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
749.5,737,721.5,3,759.5,7,740.5,694.5,2.5,4,729.5,729.5,3.5,724,698,2,4,3,724,5,670.5,6.5,694,667.5,4,3,4,2.5,3,3,3,4,25.5,6.5,6,3.5,2,3,2,3.5,4.5,4,2,3,2,1.5,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
744.5,350,704,728,4,3,4.5,750,356,729.5,741.5,11.5,728,724,3,5,9.5,7,5.5,6.5,3.5,3.5,5,5,3,3,3,625.5,6.5,3,3,4.5,3,7,3.5,2.5,4.5,3,3,3,4.5,3.5,2,3,3,3.5,2,1.5,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.5,724.5,9.5,761.5,3.5,2,16.5,4.5,367.5,694.5,7,3.5,3,716.5,2,10.5,727.5,12.5,674.5,718.5,6.5,3.5,3,4.5,7.5,3,3,3.5,20.5,4,2.5,302.5,3,4,4,3.5,3,2,4,3,3,3,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
