733.75,670.25,500.5,18.25
712.5,685,74,21
722.5,681,489,16
741.75,676.25,487.5,18.25
736.5,696.5,69,14
736.5,662,392.25,20.75
737,657.75,489,17
727,665.75,479,11.5
729,687,442,19.25
724,679.25,408.25,23.75
723,662.25,384.75,15.5
723,668,495,12
730.5,681,489.5,27.25
736.5,675.5,458.5,16
723,674.75,66,25
728.25,665.5,23.5,19.25
736.25,654.5,376.5,25
700,669,413.25,22.25
707.5,632,443,28.5
722,639,375,15.5
714.5,641.75,468,16
703,635.5,328,14
717.5,633.25,77,11.5
707,605.75,414,15
698,625,49.75,24.75
709,618,368.5,13.75
710,573.5,268.5,17.25
705,585,301.25,21
702.5,607.25,52,20
684,577.25,97,12.75
686,597,138,22
679,552,39.5,13
691.5,583,332.75,19.5
681,522.5,55,14.5
692.25,600.5,95.5,15.75
681.75,578,25,28.5
679.25,542.75,144.75,15
674,563.5,22.75,17.5
678,550.25,17,29.5
661,561.5,34,15.75
674,571.25,185.25,15.5
639.5,543.5,65.5,19
638,538.5,57.75,20
651,484.5,49,27.5
673,558,28.5,13
645,530,24.75,30.5
646.25,539,25.75,17.5
644.75,505.5,42,19
620,156.75,34,22
628,486.5,105.5,18
622,511,48.25,19
621,489.25,61.75,12
608.5,448,25.75,24
600.25,475.5,43,25.5
596.75,405.25,26,22
602,485,46.5,23
571,463,22,15
600.25,471.25,29.25,17
605.25,450.5,52,25.5
595.5,344.25,44,18
563,416.5,22,16
582,366,27,27
564,377,115,17.5
576.75,349,30.25,24.75
576.5,340.5,26,19.25
578,29.25,15.25,14
559,383.75,143.75,15.5
541.25,408,17,16
576,407,19,15.5
555,447.5,17.25,16.5
541.25,231.75,21,19
552,115,45.25,18.5
570.25,77,49,14
505.5,278.25,23,21
514.5,375.5,17.5,16
501.75,173,43.25,16
538,354.75,31,16.5
529,276.5,19,13
488.75,237,28,18
519,67.5,79,13.5
