794,743,591.5,34.5
777,739,588.5,42.5
783.5,736,588.5,19.5
790.5,744,577.5,44
784,747,535,25.5
794.5,733.5,584,27
794,729.5,569,46
786,740.5,545,18
782.5,749.5,546.5,33
781,736,565,45.5
776,732,533,24.5
781.5,736,564,17.5
786.5,728,564.5,41
782,723.5,537.5,25.5
770.5,724,513.5,51.5
788.5,721.5,547.5,32
782.5,718.5,532,33
763,718,534.5,26
779.5,700,510,43
771,708.5,554.5,18.5
759,715.5,532.5,34
773.5,690.5,500,22
759.5,714,508,19
775.5,688,521,35
762.5,692.5,504.5,35.5
767.5,691.5,499.5,38.5
756,679,453.5,21.5
750.5,685.5,499.5,21
750.5,680.5,463.5,31.5
774.5,671.5,458,42
739.5,659,441,31.5
745.5,662.5,433.5,19
745,668,474,21
755,663.5,424,24
751,677.5,485,21.5
749.5,662.5,465.5,40
736,647,395,21.5
735,653.5,417.5,14
744,645.5,373,59
731.5,650,472.5,41.5
735,640.5,396.5,23.5
717.5,628.5,379.5,24
715.5,620.5,412,22
733,604,412,37
720.5,636,387,34.5
694,578,426,36
697,603.5,441,42.5
688.5,593.5,371.5,26
703,592.5,365,34.5
687.5,600.5,357.5,42.5
705,598,371.5,45.5
715.5,586.5,351,12.5
684.5,539,150.5,8.5
688.5,591.5,360.5,65
699.5,578.5,318,19
682.5,586,377.5,50.5
665,555.5,208,28
682.5,574,338.5,37.5
675.5,557.5,303.5,52.5
675.5,544,312.5,35
663.5,541.5,329.5,34.5
645.5,546.5,296.5,44
642,558.5,369.5,27
656.5,539,381.5,29
644.5,566,204.5,49
655,501,344.5,32.5
652,562,273.5,26
650.5,521.5,267.5,26
634,535,276,35.5
654.5,507,161,46.5
639.5,526,274.5,42
632.5,501,304,21
634,488.5,111,58.5
623.5,522,339,29
624.5,508,165,21.5
607.5,482.5,78,35.5
635,516.5,225.5,55
633.5,478.5,258,33
600,514.5,200,21
616.5,487.5,233,25.5
