757,701,492,5
761,704,467,5
762,699,506.5,5
760,699.5,471.5,5
754,700,485,5
758,692,489.5,5
759,698,483,6
757,697,435.5,6
759,691,455.5,5
758,691,424,5
756,683.5,454.5,6
756,684,472,5
758,685.5,427,6
747.5,682,425.5,5
755,684,404,5
751,665,362.5,6
745,668.5,391,6
747.5,656.5,356,6
742.5,660,375,6
744.5,654,306,5
741,651,350.5,5
741,640,292.5,5
734,632,166.5,5
728.5,634.5,132.5,5
729,623.5,168.5,6
725,622,97,5
725,610.5,40.5,5
718,599,30,5
716,602,66,5
713,597,26.5,4.5
702,587.5,56,5
710,587,32,6
704,577.5,33,5
697.5,575.5,26,6
687,563,19,6
685.5,557,21,6
674.5,543,24,6
671,538,16.5,6
672,534,19,6
663.5,511,22,6
661,523.5,21,5
662,498,17.5,5
650,499.5,18,5
650.5,489.5,24,6
641,484,14,5
633,474.5,17,6
631,457.5,19,5
621.5,466.5,21,5.5
621.5,460,27,4
610.5,454.5,14,5
606,420.5,15,4
601,452.5,15.5,5
596.5,425,26.5,6
588.5,417.5,13,6
589.5,405,11,5
573,396.5,17,5.5
576,394.5,15,5
563,369,9.5,5
557,364,13,4
553,379,11,5
545.5,335.5,13.5,5
537.5,335,12.5,5
543,353,10,5.5
530.5,93,12.5,6
516,314,13.5,6
519,274.5,16,5
521,194.5,13,6
514,75.5,10,6
512.5,34.5,12,5
488,98.5,16.5,5
489,208,11,5
483.5,281,11,5
475,121.5,10,6
473,53.5,12,5
466,36,10.5,5
474.5,44,12,5
460,49.5,10.5,5
449,47.5,8,5
457,44.5,13,5
455,145.5,11.5,5
