x_normal,Normal_pdf_mu_-1,Normal_pdf_mu_0,Normal_pdf_mu_1
-7,6.69151128824427e-05,6.69151128824427e-05,6.69151128824427e-05
-6.999,6.7049068646564e-05,6.70490686465641e-05,6.70490686465641e-05
-6.998,6.71832757777049e-05,6.71832757777048e-05,6.71832757777048e-05
-6.997,6.73177347118369e-05,6.73177347118369e-05,6.73177347118369e-05
-6.996,6.74524458856158e-05,6.74524458856158e-05,6.74524458856158e-05
-6.995,6.75874097363818e-05,6.75874097363817e-05,6.75874097363817e-05
-6.994,6.77226267021599e-05,6.77226267021599e-05,6.77226267021599e-05
-6.993,6.7858097221662e-05,6.7858097221662e-05,6.7858097221662e-05
-6.992,6.79938217342871e-05,6.79938217342872e-05,6.79938217342872e-05
-6.991,6.81298006801228e-05,6.81298006801228e-05,6.81298006801228e-05
-6.99,6.8266034499945e-05,6.8266034499945e-05,6.8266034499945e-05
-6.989,6.84025236352206e-05,6.84025236352207e-05,6.84025236352207e-05
-6.988,6.85392685281072e-05,6.85392685281071e-05,6.85392685281071e-05
-6.987,6.86762696214539e-05,6.86762696214539e-05,6.86762696214539e-05
-6.986,6.88135273588033e-05,6.88135273588035e-05,6.88135273588035e-05
-6.985,6.89510421843922e-05,6.8951042184392e-05,6.8951042184392e-05
-6.984,6.90888145431509e-05,6.90888145431509e-05,6.90888145431509e-05
-6.983,6.92268448807066e-05,6.92268448807067e-05,6.92268448807067e-05
-6.982,6.9365133643383e-05,6.93651336433829e-05,6.93651336433829e-05
-6.981,6.95036812782008e-05,6.95036812782008e-05,6.95036812782008e-05
-6.98,6.964248823288e-05,6.964248823288e-05,6.964248823288e-05
-6.979,6.97815549558399e-05,6.97815549558397e-05,6.97815549558397e-05
-6.978,6.99208818961998e-05,6.99208818961998e-05,6.99208818961998e-05
-6.977,7.0060469503781e-05,7.0060469503781e-05,7.0060469503781e-05
-6.976,7.02003182291071e-05,7.02003182291072e-05,7.02003182291072e-05
-6.975,7.03404285234051e-05,7.03404285234051e-05,7.03404285234051e-05
-6.974,7.04808008386054e-05,7.04808008386054e-05,7.04808008386054e-05
-6.973,7.06214356273448e-05,7.06214356273449e-05,7.06214356273449e-05
-6.972,7.07623333429659e-05,7.07623333429657e-05,7.07623333429657e-05
-6.971,7.09034944395178e-05,7.09034944395178e-05,7.09034944395178e-05
-6.97,7.10449193717584e-05,7.10449193717586e-05,7.10449193717586e-05
-6.969,7.11866085951549e-05,7.11866085951548e-05,7.11866085951548e-05
-6.968,7.13285625658833e-05,7.13285625658833e-05,7.13285625658833e-05
-6.967,7.14707817408317e-05,7.14707817408318e-05,7.14707817408318e-05
-6.966,7.16132665775999e-05,7.16132665775998e-05,7.16132665775998e-05
-6.965,7.17560175345001e-05,7.17560175345001e-05,7.17560175345001e-05
-6.964,7.18990350705588e-05,7.18990350705588e-05,7.18990350705588e-05
-6.963,7.20423196455175e-05,7.20423196455174e-05,7.20423196455174e-05
-6.962,7.21858717198326e-05,7.21858717198326e-05,7.21858717198326e-05
-6.961,7.23296917546781e-05,7.23296917546781e-05,7.23296917546781e-05
-6.96,7.24737802119454e-05,7.24737802119455e-05,7.24737802119455e-05
-6.959,7.2618137554245e-05,7.2618137554245e-05,7.2618137554245e-05
-6.958,7.27627642449059e-05,7.27627642449059e-05,7.27627642449059e-05
-6.957,7.29076607479789e-05,7.29076607479791e-05,7.29076607479791e-05
-6.956,7.30528275282362e-05,7.30528275282361e-05,7.30528275282361e-05
-6.955,7.31982650511717e-05,7.31982650511717e-05,7.31982650511717e-05
-6.954,7.33439737830038e-05,7.33439737830039e-05,7.33439737830039e-05
-6.953,7.34899541906752e-05,7.34899541906751e-05,7.34899541906751e-05
-6.952,7.36362067418534e-05,7.36362067418534e-05,7.36362067418534e-05
-6.951,7.37827319049333e-05,7.37827319049334e-05,7.37827319049334e-05
-6.95,7.39295301490369e-05,7.39295301490368e-05,7.39295301490368e-05
-6.949,7.40766019440141e-05,7.40766019440141e-05,7.40766019440141e-05
-6.948,7.42239477604448e-05,7.42239477604448e-05,7.42239477604448e-05
-6.947,7.43715680696394e-05,7.43715680696393e-05,7.43715680696393e-05
-6.946,7.45194633436387e-05,7.45194633436387e-05,7.45194633436387e-05
-6.945,7.46676340552169e-05,7.46676340552169e-05,7.46676340552169e-05
-6.944,7.4816080677881e-05,7.48160806778811e-05,7.48160806778811e-05
-6.943,7.49648036858725e-05,7.49648036858725e-05,7.49648036858725e-05
-6.942,7.51138035541677e-05,7.51138035541677e-05,7.51138035541677e-05
-6.941,7.52630807584797e-05,7.52630807584798e-05,7.52630807584798e-05
-6.94,7.5412635775259e-05,7.54126357752589e-05,7.54126357752589e-05
-6.939,7.55624690816936e-05,7.55624690816936e-05,7.55624690816936e-05
-6.938,7.57125811557112e-05,7.57125811557113e-05,7.57125811557113e-05
-6.937,7.58629724759801e-05,7.586297247598e-05,7.586297247598e-05
-6.936,7.60136435219089e-05,7.60136435219089e-05,7.60136435219089e-05
-6.935,7.61645947736491e-05,7.61645947736492e-05,7.61645947736492e-05
-6.934,7.63158267120956e-05,7.63158267120954e-05,7.63158267120954e-05
-6.933,7.64673398188864e-05,7.64673398188864e-05,7.64673398188864e-05
-6.932,7.66191345764059e-05,7.66191345764059e-05,7.66191345764059e-05
-6.931,7.67712114677844e-05,7.67712114677843e-05,7.67712114677843e-05
-6.93,7.69235709768986e-05,7.69235709768986e-05,7.69235709768986e-05
-6.929,7.70762135883743e-05,7.70762135883743e-05,7.70762135883743e-05
-6.928,7.72291397875861e-05,7.72291397875862e-05,7.72291397875862e-05
-6.927,7.73823500606591e-05,7.73823500606591e-05,7.73823500606591e-05
-6.926,7.75358448944689e-05,7.75358448944689e-05,7.75358448944689e-05
-6.925,7.76896247766439e-05,7.7689624776644e-05,7.7689624776644e-05
-6.924,7.78436901955659e-05,7.78436901955658e-05,7.78436901955658e-05
-6.923,7.79980416403699e-05,7.79980416403699e-05,7.79980416403699e-05
-6.922,7.81526796009469e-05,7.81526796009471e-05,7.81526796009471e-05
-6.921,7.83076045679444e-05,7.83076045679443e-05,7.83076045679443e-05
-6.92,7.84628170327661e-05,7.84628170327661e-05,7.84628170327661e-05
-6.919,7.86183174875747e-05,7.86183174875749e-05,7.86183174875749e-05
-6.918,7.87741064252922e-05,7.8774106425292e-05,7.8774106425292e-05
-6.917,7.89301843396e-05,7.89301843396e-05,7.89301843396e-05
-6.916,7.90865517249417e-05,7.90865517249417e-05,7.90865517249417e-05
-6.915,7.92432090765231e-05,7.9243209076523e-05,7.9243209076523e-05
-6.914,7.94001568903124e-05,7.94001568903124e-05,7.94001568903124e-05
-6.913,7.95573956630431e-05,7.95573956630431e-05,7.95573956630431e-05
-6.912,7.97149258922135e-05,7.97149258922137e-05,7.97149258922137e-05
-6.911,7.98727480760888e-05,7.98727480760888e-05,7.98727480760888e-05
-6.91,8.00308627137007e-05,8.00308627137007e-05,8.00308627137007e-05
-6.909,8.01892703048497e-05,8.01892703048499e-05,8.01892703048499e-05
-6.908,8.03479713501062e-05,8.03479713501062e-05,8.03479713501062e-05
-6.907,8.05069663508101e-05,8.05069663508101e-05,8.05069663508101e-05
-6.906,8.06662558090733e-05,8.06662558090734e-05,8.06662558090734e-05
-6.905,8.08258402277804e-05,8.08258402277803e-05,8.08258402277803e-05
-6.904,8.09857201105886e-05,8.09857201105886e-05,8.09857201105886e-05
-6.903,8.11458959619306e-05,8.11458959619307e-05,8.11458959619307e-05
-6.902,8.13063682870143e-05,8.13063682870141e-05,8.13063682870141e-05
-6.901,8.14671375918236e-05,8.14671375918236e-05,8.14671375918236e-05
-6.9,8.1628204383121e-05,8.1628204383121e-05,8.1628204383121e-05
-6.899,8.17895691684472e-05,8.1789569168447e-05,8.1789569168447e-05
-6.898,8.1951232456122e-05,8.1951232456122e-05,8.1951232456122e-05
-6.897,8.21131947552468e-05,8.21131947552468e-05,8.21131947552468e-05
-6.896,8.22754565757043e-05,8.22754565757044e-05,8.22754565757044e-05
-6.895,8.24380184281601e-05,8.24380184281601e-05,8.24380184281601e-05
-6.894,8.26008808240634e-05,8.26008808240634e-05,8.26008808240634e-05
-6.893,8.27640442756482e-05,8.27640442756484e-05,8.27640442756484e-05
-6.892,8.29275092959351e-05,8.29275092959349e-05,8.29275092959349e-05
