808,804,805,794.75,794,799,789,798,787.5,797,790,787,769,780.75,779.5,760,768,763,745.25,751.75,743,757,726.5,721.25,714,696.5,700.25,683.25,679.5,665,642,625.5,614.75,605.25,579,557.5,540.25,512.5,486,453,427,391.25,376.75,327.5,278.5,177,170.75,142,137.25,117.5,51,62.5,59,35,45.5,21.25,19.5,23.25,23,16,24.5,19,12.75,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
793.25,783.25,800,794.5,792,803.25,796.75,793.25,790.75,786.5,792.25,784.5,787,773.75,775.25,771.5,770,759,760,757.75,747,745,734.25,728,700.25,708,702,681.5,678.75,660.25,643,630.75,614,589,569,555.25,539,521.25,490.5,458,433.75,410,365.5,322,268.75,238,231,219.75,165.5,89,43.75,44.5,41.5,47,28.5,33,25.5,21,20,18,17,12,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
795,789,806,791,798,800.5,787.5,796,791,787,780.5,788.5,768.5,772,774,779,768,763.25,761,747.25,758.5,755.25,725,721,714,703.5,704.5,691,679,660,630.5,637,628.5,591.25,560,553,537,504.25,476.5,453,415,403,381,322,303.25,259,219.5,177,117,86,95.5,74.5,41,30.25,17.5,33.75,27.75,18.75,14,16.25,21,19,12.25,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800.5,799.25,801.75,802,800,793.25,789.25,787.5,798,787,790,784,784.5,773,764,760.75,776.75,762,761,751,751,735.25,742.75,717,714,693.75,700,695.25,678,655,654,624,609,603,572,558,536.5,509,496.5,457.5,416,367,365.5,335,275.5,231,256,166,89.5,130.75,60.25,54.5,35,33.5,35.5,38.5,24.5,23.5,14,14,16,NaN,10,14.75,10,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
792.25,805,804.25,797.75,795,790,790.5,783,797.25,786.75,791,786,783,777.5,774,768,763,762.25,758.75,746,739,742.75,724,719,720,703,684,691,673,651,652.25,619,622,592,589.25,559,533.5,507,464,450,410,411.75,360,324,291,224,186.75,88,129,46,83.5,44,39.25,33,28.5,32.25,37.75,23.25,10.25,14,38,11,NaN,14,NaN,NaN,NaN,11,NaN,NaN,11,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
803.25,804,797.5,799,790,791,798.5,793.5,784,792,784.25,790.5,790,773.5,770,773.5,762,765.5,759.5,750,748.25,739.5,728.25,714.75,704,705,688.5,671.5,666.5,650,661,617.75,607,595.5,575.5,543.5,534,500.25,486.25,451,424,393.5,364,327,240.5,271,142,168,119.25,38,115,33,33.75,26,45,19,24,16,29.5,29,12,12,16,13,10,15,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
805,796,800.5,799.5,795,792.25,792.5,790,789.5,790,780,786,785,785.5,765.5,768.5,761,757.75,756.5,752.5,749,732,732.25,720.5,716,713,686.25,682,673.5,653.5,638,631.5,595.5,601.5,562.25,561,526,494,474.25,459,421.75,401,369.5,353.5,296,150,216.5,143.75,186.75,68.75,42.5,32.25,29,34.5,38,31,16.25,15,17.5,15.75,17,16,16,NaN,NaN,NaN,15,14,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
802,793,787.75,801,797,795,795.5,789,775,785.75,781,780,787,782.5,769.25,769,765,758.5,761,745,735,743.75,729.5,715.75,709.5,713,696.5,680,667.5,643,639,626.5,607.5,590,572,547,526.5,487,495.75,450,408,406.5,363,352.25,262.75,246.75,200.25,156.75,150,117,66.75,90,98,24.5,42,47,17,25,24,28.5,25,10,12,14,17,NaN,NaN,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
804.75,800.5,795.25,800.75,795,780,795.5,796,776.25,787,780.25,780,773,770,769,774.25,768,758,750.5,740,746.5,726.25,722,717.75,714.5,701.5,689,678,668.5,651.5,634,614.5,604.75,569,562,556,510.25,478,471,451.75,406.5,389,349.5,302,228,230.5,181.25,158,113,57,55,73,56.5,49,33.5,24,21,27,24,21,19.25,18,NaN,NaN,NaN,11,NaN,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
796,803.5,793,794,794,786,793,789,789.25,786,784.5,786.25,760.5,785.5,776.5,767,765.5,739.5,746,744.5,738,736.5,726,706.75,705,697,688.25,679.25,655,644,639.5,623,592.5,587.25,549.5,541.25,501,494,465,426,416.25,387.5,362,339,241.25,236.5,219.75,199,129.5,93,109,61,42,16,26.5,25.5,17,18.5,18.5,20.5,19.25,12,12,22.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
