Eff_vals_pdf,dt_0wk_conv,dt_5wk_conv,dt_10wk_conv,dt_15wk_conv,dt_20wk_conv,dt_25wk_conv,dt_30wk_conv,dt_35wk_conv,dt_40wk_conv,dt_45wk_conv,dt_50wk_conv
0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0.01,0.03
0.002,0,0,0,0,0,0,0,0.01,0.02,0.04,0.07
0.003,0,0,0,0,0,0,0.01,0.01,0.04,0.08,0.09
0.004,0,0,0,0,0,0.01,0.01,0.04,0.04,0.04,0.18
0.005,0,0,0,0,0,0.01,0.02,0.04,0.05,0.11,0.28
0.006,0,0,0,0,0.00999999999999999,0.00999999999999999,0.02,0.04,0.04,0.19,0.49
0.007,0,0,0,0,0.01,0.01,0.04,0.01,0.12,0.24,0.44
0.008,0,0,0,0.00999999999999999,0.00999999999999999,0.02,0.03,0.04,0.13,0.36,0.539999999999999
0.009,0,0,0,0,0.01,0.04,0.02,0.0600000000000001,0.16,0.27,0.680000000000001
0.01,0,0,0.01,0.01,0,0,0.02,0.1,0.2,0.43,0.670000000000001
0.011,0,0,0,0.00999999999999999,0.02,0.04,0.02,0.12,0.3,0.39,0.819999999999999
0.012,0,0,0,0,0.03,0.00999999999999999,0.04,0.0999999999999999,0.17,0.58,0.749999999999999
0.013,0,0,0.01,0.01,0.01,0,0.0800000000000001,0.19,0.34,0.52,1.06
0.014,0,0.01,0,0.02,0.01,0.03,0.0600000000000001,0.16,0.36,0.45,0.920000000000001
0.015,0,0,0.00999999999999999,0,0.03,0.00999999999999999,0.0999999999999999,0.22,0.25,0.639999999999999,1.18
0.016,0,0,0,0.03,0.00999999999999999,0.02,0.0799999999999999,0.11,0.49,0.599999999999999,0.969999999999999
0.017,0,0.00999999999999999,0.00999999999999999,0.00999999999999999,0,0.0699999999999999,0.0999999999999999,0.24,0.31,0.649999999999999,1.14
0.018,0.01,0,0,0,0.0200000000000001,0.0700000000000002,0.13,0.210000000000001,0.380000000000001,0.840000000000002,1.2
0.019,0,0,0.02,0.00999999999999999,0.00999999999999999,0.03,0.16,0.3,0.36,0.779999999999999,1.14
0.02,0,0.00999999999999999,0,0.03,0.00999999999999999,0.0899999999999999,0.16,0.17,0.539999999999999,0.819999999999999,1.51
0.021,0,0,0.0200000000000001,0,0.01,0.0600000000000002,0.0800000000000002,0.340000000000001,0.490000000000001,0.780000000000002,1.4
0.022,0,0.00999999999999999,0.02,0.00999999999999999,0.04,0.0699999999999999,0.15,0.29,0.4,0.709999999999999,1.36
0.023,0.00999999999999999,0,0,0,0.05,0.0799999999999999,0.2,0.29,0.529999999999999,0.909999999999999,1.49
0.024,0,0,0,0.00999999999999999,0.05,0.0999999999999999,0.15,0.3,0.669999999999999,0.939999999999999,1.37
0.025,0,0.02,0,0.00999999999999999,0.03,0.11,0.23,0.24,0.529999999999999,0.789999999999999,1.49
0.026,0,0,0.0300000000000001,0.0200000000000001,0.0500000000000001,0.14,0.14,0.370000000000001,0.630000000000002,1.07,1.37
0.027,0.00999999999999999,0,0.00999999999999999,0,0.05,0.11,0.17,0.35,0.659999999999999,1.13,1.45
0.028,0,0.02,0,0.00999999999999999,0.0599999999999999,0.04,0.29,0.43,0.59,1.11,1.65
0.029,0,0.01,0.01,0.0300000000000001,0.0400000000000001,0.0900000000000002,0.220000000000001,0.230000000000001,0.520000000000001,1.07,1.86
0.03,0.00999999999999999,0.00999999999999999,0,0.03,0.05,0.15,0.23,0.42,0.599999999999999,0.949999999999999,1.76
0.031,0,0,0,0.03,0.0799999999999999,0.15,0.2,0.44,0.709999999999999,1.25,1.65
0.032,0,0,0.00999999999999999,0.04,0.0699999999999999,0.0999999999999999,0.22,0.51,0.729999999999999,0.989999999999999,1.66
0.033,0.00999999999999999,0,0.00999999999999999,0.03,0.0699999999999999,0.19,0.18,0.36,0.639999999999999,1.12,1.79
0.034,0.00999999999999999,0.00999999999999999,0.00999999999999999,0.02,0.12,0.14,0.2,0.49,0.669999999999999,1.14,1.59
0.035,0,0.02,0.00999999999999999,0.05,0.0899999999999999,0.0699999999999999,0.33,0.43,0.809999999999999,0.959999999999999,1.76
0.036,0,0.0100000000000001,0,0.0400000000000002,0.0900000000000006,0.150000000000001,0.260000000000002,0.540000000000003,0.860000000000005,1.12000000000001,1.93000000000001
0.037,0.02,0,0,0.05,0.03,0.24,0.38,0.35,0.889999999999999,1.24,1.83
0.038,0.00999999999999999,0,0.02,0.02,0.03,0.2,0.19,0.539999999999999,0.809999999999999,1.37,1.76
0.039,0.00999999999999999,0.00999999999999999,0.03,0.03,0.12,0.12,0.15,0.36,0.749999999999999,1.44,2
