sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
0.05,1.38039674298495e-07,0.500000034488382,0.176,47.0965909090909,114.8,67,28,17,0.499,9.947,24,5,1,1
0.25,-2.0262443638929e-07,0.499999950111562,0.18,48.7666666666667,121,61.5,33,15,0.51,10.515,27,5,2,1
0.5,-3.81821674103275e-07,0.499999909872531,0.169,44.5917159763314,99,56.5,29,16.75,0.495,9.291,23.5,5,1,1
0.75,-2.38953241599614e-08,0.49999999469363,0.166,47.3192771084337,103.9,64,34.5,16,0.508,9.658,24,5,2,1
1,5.4809042511252e-08,0.500000011324805,0.175,43.9771428571429,105,60,30,15.25,0.484,9.34,25.5,5,1,1
1.25,3.69287776850524e-07,0.500000070623066,0.22,46.3181818181818,112.5,70.5,25,15,0.522,11.84,31,8,2,1
1.5,5.07790136376479e-07,0.500000089741487,0.202,48.4752475247525,117.3,66,30,15,0.503,11.454,30.5,6,2,1
1.75,4.18684692767356e-07,0.500000068425737,0.193,53.119170984456,130.4,76.5,35,17,0.489,11.844,34,5.5,1,1
2,-2.28082419144148e-07,0.499999965461962,0.189,47.2804232804233,115.8,66.25,32,16,0.509,10.637,29.5,6,2,1
2.25,2.14032491396182e-07,0.500000030109522,0.188,47.6489361702128,116,64.5,30.5,14.5,0.469,10.545,28,5,1,1
2.5,-4.63511274758473e-07,0.499999939244613,0.195,52.7282051282051,118,69,37,18.25,0.55,12.066,37,6,2,1
2.75,-3.08994257256622e-07,0.499999962146972,0.179,51.6983240223464,126.2,77,30,17,0.503,10.93,25,5,2,1
3,4.83066719564646e-07,0.500000055474924,0.18,46.6333333333333,121.5,67,27,14.5,0.515,10.121,21.5,5,2,1
3.25,-1.67916132637958e-07,0.499999981870241,0.174,48.7816091954023,118.2,65,29.5,16,0.519,10.256,24,5,2,1
3.5,-8.00040662248177e-07,0.499999918560885,0.188,51.3085106382979,117.7,81,31,15,0.508,11.416,27,6,2,1
3.75,-6.84562719075779e-07,0.499999934128195,0.191,52.7853403141361,134.4,80.75,29,16,0.526,11.78,27,6,2,1
4,-1.75297582177935e-07,0.499999984015385,0.194,49.7113402061856,118.1,76,29.5,16,0.503,11.349,29,6,2,1
4.25,-2.12041886974599e-07,0.499999981634877,0.174,56.9252873563218,127.3,85,39,17,0.504,11.602,29.5,5,2,1
4.5,-1.10171853017505e-06,0.499999909170159,0.171,54.0877192982456,127.4,80.75,31,15,0.496,10.965,25,5,1,1
4.75,-5.84750617165742e-07,0.499999954017575,0.19,51.9210526315789,131,71,32.5,17,0.528,11.668,30,6,2,1
