sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
0.05,-2.19822449366338,0.0999999686683782,0.441,686.700680272109,773,752,726,699,0.617,303.78,755,719,3,1
0.25,-2.22208011157881,0.0999999170409269,0.458,678.296943231441,768,751,721.5,690,0.636,311.654,754,717,4,1
0.5,-2.29498337208054,0.100000065138385,0.425,685.308235294118,769,749.25,722,695.75,0.629,292.324,752,715.5,3,1
0.75,-2.4112395851814,0.0999999754882107,0.487,696.441478439425,767.8,748.75,725,697,0.676,340.209,754,724,8,1
1,-2.56417843721694,0.100000068083494,0.474,688.15611814346,774.1,748,727,698,0.65,327.142,754,724,5,1
1.25,-2.74679219350925,0.100000069160836,0.442,695.934389140271,771,752,723,694,0.621,308.599,754.5,715,4,1
1.5,-2.95290397378453,0.0999999358949716,0.482,693.697095435685,765.3,748,723,694,0.662,335.318,752,721,7,1
1.75,-3.17754931336959,0.0999999691409473,0.457,686.704595185996,774.8,753,726,698,0.65,314.871,758,722,5,1
2,-3.41690080933837,0.100000004528358,0.443,679.573363431151,767,748,727,692.25,0.639,302.088,751.5,719.5,4,1
2.25,-3.6680350595417,0.0999999056472936,0.47,689.034042553192,767.5,747,722,695,0.662,324.858,750,718.5,6,1
2.5,-3.92870528281315,0.0999999485453567,0.447,691.950782997763,767.8,745,722,690.25,0.625,310.294,748,715.5,4,1
2.75,-4.19718070165764,0.0999999385705333,0.483,688.32298136646,771.2,752.5,721,690,0.688,333.429,757,720,6,1
3,-4.47210225922729,0.100000066619634,0.451,693.729490022173,768,749,723,693,0.65,313.887,752.5,719,4,1
3.25,-4.7524046647038,0.100000032924285,0.471,686.286624203822,771,748,725,693,0.662,324.264,752.5,722,6,1
3.5,-5.03723159933241,0.0999999026958098,0.466,690.122317596567,773.9,752,728,693,0.663,322.583,756.5,725,5,1
3.75,-5.32588583581845,0.100000001040861,0.475,695.597894736842,770,750,725,697,0.655,331.352,756.5,721.5,5,1
4,-5.61781233182578,0.100000040915944,0.46,699.273913043478,778,755.5,730,701,0.638,322.648,758,726,4,1
4.25,-5.91254964584775,0.100000061342839,0.476,691.426470588235,771,749,725.5,698,0.651,330.072,754,724,5,1
4.5,-6.209717325637,0.10000004855164,0.465,691.264516129032,774,753.25,727,694.75,0.67,322.507,757,722,6,1
4.75,-6.5089974157365,0.100000031363879,0.448,696.537946428571,770,749,726,701,0.651,313.128,752,721,5,1
5,-6.81012204586268,0.100000071803611,0.463,696.993520518359,768,748.75,725,698.25,0.644,323.713,752,719.5,5,1
5.25,-7.11286952039197,0.100000075889766,0.434,693.092165898618,774,755,723,694,0.638,301.849,757.5,717,4,1
5.5,-7.41705423379997,0.0999999002071252,0.492,696.84756097561,767,747.5,723,691.5,0.67,343.774,752.5,722.5,8,1
5.75,-7.72249954269305,0.0999999754796713,0.473,680.849894291755,768,747,721,693,0.663,323.062,750,717.5,6,1
6,-8.02907362889679,0.100000059291218,0.434,694.836405529954,774,751,723,695,0.64,302.673,753,716.5,4,1
6.25,-8.3366653862942,0.0999999047603115,0.431,696.127610208817,774,750,722,693,0.627,301.067,753,716,4,1
6.5,-8.64515213280936,0.100000019531546,0.436,684.577981651376,766.9,751,726.5,696,0.627,299.494,754,719,4,1
