sig_vals,mu_vals,eff_vals,p_outbreak_th,final_size_mean_th,final_size_q90_th,final_size_q75_th,final_size_q50_th,final_size_q25_th,p_outbreak,final_size_mean,final_size_q90,final_size_q75,final_size_q50,final_size_q25
0.05,-0.847797601276031,0.2999999777669,0.353,408.385269121813,581,543.5,481,371.75,0.598,145.484,534,411.5,3,1
0.25,-0.859636686346288,0.299999974819951,0.335,383.773134328358,569,531.75,470,289.25,0.592,129.895,524.5,296,2,1
0.5,-0.894952810387978,0.300000056757008,0.339,408.687315634218,569,528.75,469,389.25,0.575,139.843,515.5,399,2,1
0.75,-0.949290013276179,0.299999998920476,0.314,388.687898089172,554.1,521,458,338,0.586,123.503,506,233,2,1
1,-1.01838977256094,0.300000037337227,0.352,369.568181818182,542.3,504.5,461,321,0.579,131.305,497,353.5,2,1
1.25,-1.09873152815448,0.300000024342057,0.34,377.885294117647,535,499.5,450,363.5,0.562,129.726,494,376,2,1
1.5,-1.18767804310995,0.300000038705674,0.344,350.008720930233,535.2,486,428,262,0.595,121.684,478,309,2,1
1.75,-1.28330752156789,0.299999962910721,0.342,338.798245614035,515.6,477,418,153,0.578,117.125,468,253.5,2,1
2,-1.38421051879729,0.300000067354884,0.338,346.644970414201,506,464,416,311,0.613,118.517,453.5,322,2,1
2.25,-1.48934271202609,0.300000081824624,0.34,345.867647058824,509.5,461,415.5,299,0.592,118.949,453,312.5,2,1
2.5,-1.59791298271366,0.299999955375408,0.332,335.493975903614,495.3,456,403,268.5,0.591,112.711,442.5,265.5,2,1
2.75,-1.70930968755629,0.299999937007793,0.367,344.057220708447,498,461,410,308,0.6,127.496,456,351,3,1
3,-1.82305621636334,0.299999999911628,0.328,327.185975609756,495.7,453.5,399,226,0.579,108.711,443,202.5,2,1
3.25,-1.93877630820964,0.299999973720045,0.309,332.190938511327,493,456,403,277.75,0.574,103.977,438,58,2,1
3.5,-2.05616585081437,0.299999949796739,0.367,305.449591280654,475,434,376,128.25,0.584,113.248,429,277,2,1
3.75,-2.17497883449711,0.29999993436098,0.337,318.041543026706,476.8,439.25,386,238.75,0.584,108.506,432,255,2,1
